Entry;Pos;Label
uncivilised;anypos;hate
gypo;anypos;hate
gypos;anypos;hate
cunt;anypos;hate
cunts;anypos;hate
peckerwood;anypos;hate
peckerwoods;anypos;hate
raghead;anypos;hate
ragheads;anypos;hate
cripple;anypos;hate
cripples;anypos;hate
niggur;anypos;hate
niggurs;anypos;hate
yellow bone;anypos;hate
yellow bones;anypos;hate
muzzie;anypos;hate
muzzies;anypos;hate
niggar;anypos;hate
niggars;anypos;hate
nigger;anypos;hate
niggers;anypos;hate
greaseball;anypos;hate
greaseballs;anypos;hate
white trash;anypos;hate
white trashes;anypos;hate
nig nog;anypos;hate
nig nogs;anypos;hate
faggot;anypos;hate
faggots;anypos;hate
cotton picker;anypos;hate
cotton pickers;anypos;hate
darkie;anypos;hate
darkies;anypos;hate
hoser;anypos;hate
hosers;anypos;hate
Uncle Tom;anypos;hate
Uncle Toms;anypos;hate
Jihadi;anypos;hate
Jihadis;anypos;hate
retard;anypos;hate
retards;anypos;hate
hillbilly;anypos;hate
hillbillies;anypos;hate
fag;anypos;hate
fags;anypos;hate
trailer trash;anypos;hate
trailer trashes;anypos;hate
pikey;anypos;hate
pikies;anypos;hate
nicca;anypos;hate
niccas;anypos;hate
tranny;anypos;hate
trannies;anypos;hate
porch monkey;anypos;hate
porch monkies;anypos;hate
wigger;anypos;hate
wiggers;anypos;hate
wetback;anypos;hate
wetbacks;anypos;hate
nigglet;anypos;hate
nigglets;anypos;hate
wigga;anypos;hate
wiggas;anypos;hate
dhimmi;anypos;hate
dhimmis;anypos;hate
honkey;anypos;hate
honkies;anypos;hate
eurotrash;anypos;hate
eurotrashes;anypos;hate
yardie;anypos;hate
yardies;anypos;hate
trailer park trash;anypos;hate
trailer park trashes;anypos;hate
niggah;anypos;hate
niggahes;anypos;hate
yokel;anypos;hate
yokels;anypos;hate
nigguh;anypos;hate
nigguhes;anypos;hate
camel jockey;anypos;hate
camel jockies;anypos;hate
honkie;anypos;hate
honkies;anypos;hate
niglet;anypos;hate
niglets;anypos;hate
gyppo;anypos;hate
gyppos;anypos;hate
dyke;anypos;hate
dykes;anypos;hate
half breed;anypos;hate
honky;anypos;hate
honkies;anypos;hate
race traitor;anypos;hate
race traitors;anypos;hate
jiggaboo;anypos;hate
jiggaboos;anypos;hate
Chinaman;anypos;hate
Chinamans;anypos;hate
curry muncher;anypos;hate
curry munchers;anypos;hate
jungle bunny;anypos;hate
jungle bunnies;anypos;hate
coon ass;anypos;hate
coon asses;anypos;hate
newfie;anypos;hate
newfies;anypos;hate
house nigger;anypos;hate
house niggers;anypos;hate
limey;anypos;hate
limies;anypos;hate
red bone;anypos;hate
red bones;anypos;hate
guala;anypos;hate
gualas;anypos;hate
plastic paddy;anypos;hate
plastic paddies;anypos;hate
whigger;anypos;hate
whiggers;anypos;hate
jigaboo;anypos;hate
jigaboos;anypos;hate
nig;anypos;hate
nigs;anypos;hate
Zionazi;anypos;hate
Zionazis;anypos;hate
spear chucker;anypos;hate
spear chuckers;anypos;hate
niggress;anypos;hate
niggresses;anypos;hate
yobbo;anypos;hate
yobbos;anypos;hate
